TABLE_NAME,EXCLUSION_REASON,ROW_COUNT,COLUMN_COUNT,NOTE
AWARD_BU_BKUP,BACKUP_COPY,67120,80,excluded from Huron discovery package
AWARD_REPORT_TRACKING_BKP_1801,BACKUP_COPY,41036,30,excluded from Huron discovery package
CONTACT_TYPE_BKUP_1705,BACKUP_COPY,6,6,excluded from Huron discovery package
CONTACT_USAGE_BKUP_1705,BACKUP_COPY,6,7,excluded from Huron discovery package
EPS_PROP_PERS_YNQ_BAK,BACKUP_COPY,0,8,excluded from Huron discovery package
KRIM_ENTITY_EMP_INFO_T_BKP_03-28-25,BACKUP_COPY,28280,14,excluded from Huron discovery package
KRIM_PRNCPL_T_BKUP_2101,BACKUP_COPY,145937,8,excluded from Huron discovery package
KRMS_TERM_PARM_T_BAK07312017,BACKUP_COPY,13,5,excluded from Huron discovery package
ORGANIZATION_BKUP_201116,BACKUP_COPY,5297,40,excluded from Huron discovery package
ORGANIZATION_BKUP_220331,BACKUP_COPY,5701,41,excluded from Huron discovery package
PENDING_TRANSACTIONS_BU_BKUP,BACKUP_COPY,18714,18,excluded from Huron discovery package
PROPOSAL_ATTACHMENTS_BKUP_1709,BACKUP_COPY,15122,18,excluded from Huron discovery package
PROPOSAL_BU_BKUP,BACKUP_COPY,10936,60,excluded from Huron discovery package
PROPOSAL_LOG_BU_BKUP,BACKUP_COPY,8501,25,excluded from Huron discovery package
QUESTION_BAK07312017,BACKUP_COPY,318,18,excluded from Huron discovery package
SPONSOR_BKUP_220331,BACKUP_COPY,5696,25,excluded from Huron discovery package
SUBAWARD_AI_EXTN_BKUP_1608,BACKUP_COPY,20696,2,excluded from Huron discovery package
SUBAWARD_AMOUNT_INFO_BKUP_1608,BACKUP_COPY,20696,22,excluded from Huron discovery package
SUBAWARD_AMOUNT_INFO_BKUP_1907,BACKUP_COPY,3880,27,excluded from Huron discovery package
SUBAWARD_AMOUNT_INFO_BKUP_1909,BACKUP_COPY,69789,28,excluded from Huron discovery package
SUBAWARD_CONTACT_BKUP_1705,BACKUP_COPY,55856,10,excluded from Huron discovery package
SUBAWARD_CONTACT_BKUP_1812,BACKUP_COPY,97397,10,excluded from Huron discovery package
SUBAWARD_FUNDING_BKUP_201014A,BACKUP_COPY,200061,9,excluded from Huron discovery package
SUBAWARD_FUNDING_BKUP_201014B,BACKUP_COPY,199988,9,excluded from Huron discovery package
SUBAWARD_FUNDING_BKUP_201116A,BACKUP_COPY,151540,9,excluded from Huron discovery package
SUBAWARD_FUNDING_BKUP_201116B,BACKUP_COPY,151427,9,excluded from Huron discovery package
SUBAWARD_FUNDING_SRC_BKUP_2008,BACKUP_COPY,180592,9,excluded from Huron discovery package
SUBAWARD_FUNDING_SRC_BKUP_2010,BACKUP_COPY,195338,9,excluded from Huron discovery package
VH_SUBAWARD_BAK_1610_005,BACKUP_COPY,15123,12,excluded from Huron discovery package
BU_TEMP_AWARD_NEW_SEQ,BU_TEMP_WORKING,0,4,excluded from Huron discovery package
BU_TEMP_AWARD_TO_DELETE_TBL,BU_TEMP_WORKING,0,1,excluded from Huron discovery package
BU_TEMP_AWARD_USER_ID,BU_TEMP_WORKING,0,2,excluded from Huron discovery package
BU_TEMP_BLACKBOARD_TRAINING,BU_TEMP_WORKING,0,7,excluded from Huron discovery package
BU_TEMP_BLACKBOARD_TRAINING2,BU_TEMP_WORKING,0,6,excluded from Huron discovery package
BU_TEMP_CASCADE_DELETE_TBL,BU_TEMP_WORKING,0,6,excluded from Huron discovery package
BU_TEMP_COI_TO_MPI,BU_TEMP_WORKING,0,5,excluded from Huron discovery package
BU_TEMP_DA_ASSIGNMENTS,BU_TEMP_WORKING,0,6,excluded from Huron discovery package
BU_TEMP_DUP_BUDGETS_TO_DELETE,BU_TEMP_WORKING,0,6,excluded from Huron discovery package
BU_TEMP_EFFORT_COORDINATOR,BU_TEMP_WORKING,0,11,excluded from Huron discovery package
BU_TEMP_EMAIL,BU_TEMP_WORKING,0,5,excluded from Huron discovery package
BU_TEMP_ERA_COMMON,BU_TEMP_WORKING,0,7,excluded from Huron discovery package
BU_TEMP_FFATA_CONVERSION,BU_TEMP_WORKING,0,11,excluded from Huron discovery package
BU_TEMP_FFATA_SUBMITTER,BU_TEMP_WORKING,0,4,excluded from Huron discovery package
BU_TEMP_FFATA_TRACKER,BU_TEMP_WORKING,0,13,excluded from Huron discovery package
BU_TEMP_GRANDFATHER_B001,BU_TEMP_WORKING,0,5,excluded from Huron discovery package
BU_TEMP_GRANDFATHER_RATE,BU_TEMP_WORKING,0,2,excluded from Huron discovery package
BU_TEMP_GRANDFATHER_RATE_PART2,BU_TEMP_WORKING,0,2,excluded from Huron discovery package
BU_TEMP_INACTIVATE_SPONSORS,BU_TEMP_WORKING,0,1,excluded from Huron discovery package
BU_TEMP_IP_CUSTOM,BU_TEMP_WORKING,0,4,excluded from Huron discovery package
BU_TEMP_IP_CUSTOM_SUBMIT,BU_TEMP_WORKING,0,2,excluded from Huron discovery package
