DOMAIN,TABLE_NAME,EXTRACT_TYPE,FILE,STATUS,ROWS_WRITTEN
Award,AWARD,SAMPLE,reference/package/award/award.csv,OK,"1,000"
Award,AWARD_AMOUNT_INFO,SAMPLE,reference/package/award/award_amount_info.csv,OK,"1,000"
Award,AWARD_AMOUNT_TRANSACTION,SAMPLE,reference/package/award/award_amount_transaction.csv,OK,"1,000"
Award,AWARD_AMT_FNA_DISTRIBUTION,SAMPLE,reference/package/award/award_amt_fna_distribution.csv,OK,"1,000"
Award,AWARD_APPROVED_EQUIPMENT,FULL,reference/package/award/award_approved_equipment.csv,OK,3
Award,AWARD_APPROVED_SUBAWARDS,FULL,reference/package/award/award_approved_subawards.csv,OK,"9,336"
Award,AWARD_ATTACHMENT,SAMPLE,reference/package/award/award_attachment.csv,OK,"1,000"
Award,AWARD_ATTACHMENT_TYPE,FULL,reference/package/award/award_attachment_type.csv,OK,10
Award,AWARD_BASIS_OF_PAYMENT,FULL,reference/package/award/award_basis_of_payment.csv,OK,3
Award,AWARD_BUDGET_DETAILS_EXT,SAMPLE,reference/package/award/award_budget_details_ext.csv,OK,"1,000"
Award,AWARD_BUDGET_EXT,SAMPLE,reference/package/award/award_budget_ext.csv,OK,"1,000"
Award,AWARD_BUDGET_LIMIT,SAMPLE,reference/package/award/award_budget_limit.csv,OK,"1,000"
Award,AWARD_BUDGET_PERIOD_EXT,SAMPLE,reference/package/award/award_budget_period_ext.csv,OK,"1,000"
Award,AWARD_BUDGET_STATUS,FULL,reference/package/award/award_budget_status.csv,OK,10
Award,AWARD_BUDGET_TYPE,FULL,reference/package/award/award_budget_type.csv,OK,2
Award,AWARD_CFDA,SAMPLE,reference/package/award/award_cfda.csv,OK,"1,000"
Award,AWARD_CGB,SAMPLE,reference/package/award/award_cgb.csv,OK,"1,000"
Award,AWARD_CLOSEOUT,SAMPLE,reference/package/award/award_closeout.csv,OK,"1,000"
Award,AWARD_COMMENT,SAMPLE,reference/package/award/award_comment.csv,OK,"1,000"
Award,AWARD_COST_SHARE,FULL,reference/package/award/award_cost_share.csv,OK,"7,618"
Award,AWARD_DOCUMENT,SAMPLE,reference/package/award/award_document.csv,OK,"1,000"
Award,AWARD_EXEMPT_NUMBER,FULL,reference/package/award/award_exempt_number.csv,OK,"2,684"
Award,AWARD_FUNDING_PROPOSALS,FULL,reference/package/award/award_funding_proposals.csv,OK,"13,658"
Award,AWARD_HIERARCHY,SAMPLE,reference/package/award/award_hierarchy.csv,OK,"1,000"
Award,AWARD_IDC_RATE,FULL,reference/package/award/award_idc_rate.csv,OK,10
Award,AWARD_METHOD_OF_PAYMENT,FULL,reference/package/award/award_method_of_payment.csv,OK,38
Award,AWARD_NOTEPAD,FULL,reference/package/award/award_notepad.csv,OK,34
Award,AWARD_NOTIFICATION,FULL,reference/package/award/award_notification.csv,OK,2
Award,AWARD_PAYMENT_SCHEDULE,FULL,reference/package/award/award_payment_schedule.csv,OK,3
Award,AWARD_PERSONS,SAMPLE,reference/package/award/award_persons.csv,OK,100
Award,AWARD_PERSON_CREDIT_SPLITS,SAMPLE,reference/package/award/award_person_credit_splits.csv,OK,"1,000"
Award,AWARD_PERSON_UNITS,SAMPLE,reference/package/award/award_person_units.csv,OK,"1,000"
Award,AWARD_PERS_UNIT_CRED_SPLITS,SAMPLE,reference/package/award/award_pers_unit_cred_splits.csv,OK,"1,000"
Award,AWARD_REPORT_TERMS,SAMPLE,reference/package/award/award_report_terms.csv,OK,"1,000"
Award,AWARD_REPORT_TRACKING,SAMPLE,reference/package/award/award_report_tracking.csv,OK,"1,000"
Award,AWARD_SPECIAL_REVIEW,SAMPLE,reference/package/award/award_special_review.csv,OK,"1,000"
Award,AWARD_SPONSOR_CONTACTS,FULL,reference/package/award/award_sponsor_contacts.csv,OK,16
Award,AWARD_SPONSOR_TERM,SAMPLE,reference/package/award/award_sponsor_term.csv,OK,"1,000"
Award,AWARD_STATUS,FULL,reference/package/award/award_status.csv,OK,10
Award,AWARD_TEMPLATE,FULL,reference/package/award/award_template.csv,OK,29
Award,AWARD_TEMPLATE_COMMENTS,FULL,reference/package/award/award_template_comments.csv,OK,31
Award,AWARD_TEMPLATE_REPORT_TERMS,FULL,reference/package/award/award_template_report_terms.csv,OK,135
Award,AWARD_TEMPLATE_TERMS,FULL,reference/package/award/award_template_terms.csv,OK,528
Award,AWARD_TRANSACTION_TYPE,FULL,reference/package/award/award_transaction_type.csv,OK,20
Award,AWARD_TRANSMISSION,SAMPLE,reference/package/award/award_transmission.csv,OK,"1,000"
Award,AWARD_TRANSMISSION_CHILD,SAMPLE,reference/package/award/award_transmission_child.csv,OK,"1,000"
Award,AWARD_TYPE,FULL,reference/package/award/award_type.csv,OK,19
Award,AWARD_UNIT_CONTACTS,SAMPLE,reference/package/award/award_unit_contacts.csv,OK,100
Award,AWD_BGT_DET_CAL_AMTS_EXT,SAMPLE,reference/package/award/awd_bgt_det_cal_amts_ext.csv,OK,"1,000"
