UI_SECTION,UI_TAB,UI_PANEL,UI_FIELD_NAME,UI_SHORT_LABEL,FIELD_DESCRIPTION,JAVA_CLASS,JAVA_PROPERTY,DB_TABLE,DB_COLUMN,DATA_TYPE,LOOKUP_TABLE,LOOKUP_COLUMN,LOOKUP_DESCRIPTION_COLUMN,FIELD_ORIGIN,CUSTOM_ATTRIBUTE_ID,REQUIRED,READ_ONLY,CONFIDENCE,SOURCE_FILE,NOTES
Award (panel not referenced by a JSP),Direct/F&A Funds Distribution,award Direct Fn A Funds Distribution,Direct Cost,,Direct Cost,org.kuali.kra.award.timeandmoney.AwardDirectFandADistribution,directCost,AWARD_AMT_FNA_DISTRIBUTION,DIRECT_COST,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardDirectFnAFundsDistribution.tag,
Award (panel not referenced by a JSP),Direct/F&A Funds Distribution,award Direct Fn A Funds Distribution,End Date,,End Date,org.kuali.kra.award.timeandmoney.AwardDirectFandADistribution,endDate,AWARD_AMT_FNA_DISTRIBUTION,END_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardDirectFnAFundsDistribution.tag,
Award (panel not referenced by a JSP),Direct/F&A Funds Distribution,award Direct Fn A Funds Distribution,F&A Cost,,F&A Cost,org.kuali.kra.award.timeandmoney.AwardDirectFandADistribution,indirectCost,AWARD_AMT_FNA_DISTRIBUTION,INDIRECT_COST,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardDirectFnAFundsDistribution.tag,
Award (panel not referenced by a JSP),Direct/F&A Funds Distribution,award Direct Fn A Funds Distribution,Start Date,,Start Date,org.kuali.kra.award.timeandmoney.AwardDirectFandADistribution,startDate,AWARD_AMT_FNA_DISTRIBUTION,START_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardDirectFnAFundsDistribution.tag,
Award Actions,Award Hierarchy Sync,award Sync,Award Status,,Award Status,org.kuali.kra.award.home.Award,statusCode,AWARD,STATUS_CODE,NUMBER,AWARD_STATUS,STATUS_CODE,DESCRIPTION,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardSync.tag,
Award Actions,Award Hierarchy Sync,award Sync,Sponsor ID,,The identification number of the organization or agency that is providing support for the sponsored project.,org.kuali.kra.award.home.Award,sponsorCode,AWARD,SPONSOR_CODE,VARCHAR2,SPONSOR,SPONSOR_CODE,DESCRIPTION,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardSync.tag,
Award Actions,Award Hierarchy Sync,award Sync,Sync,,Syncronize Descendents,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,syncDescendants,AWARD_SYNC_CHANGE,SYNC_DESCEND,VARCHAR2,,,,LOOKUP_REFERENCE,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardSync.tag,
Award Actions,Award Hierarchy Sync,award Sync,Syncronize Cost Sharing Accounts,,Syncronize Cost Sharing Accounts,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,syncCostSharing,AWARD_SYNC_CHANGE,SYNC_COST_SHARE_DESCEND,CHAR,,,,LOOKUP_REFERENCE,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardSync.tag,
Award Actions,Award Hierarchy Sync,award Sync,Syncronize Fabricated Descendents,,Syncronize Fabricated Descendents,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,syncFabricated,AWARD_SYNC_CHANGE,SYNC_FABRICATED_DESCEND,CHAR,,,,LOOKUP_REFERENCE,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardSync.tag,
Award Actions,Award Hierarchy Sync,award Sync,,,,AwardSyncChange,delete,,,,,,,DERIVED_DISPLAY,,,Y,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardSync.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Award Commitments,Cost Sharing,award Cost Share,Comments,,Comments,org.kuali.kra.award.home.AwardComment,comments,AWARD_COMMENT,COMMENTS,CLOB,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardCostShare.tag,
Award Commitments,Cost Sharing,award Cost Share,Commitment Amount,,Commitment Amount,org.kuali.kra.award.commitments.AwardCostShare,commitmentAmount,AWARD_COST_SHARE,COMMITMENT_AMOUNT,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardCostShare.tag,
Award Commitments,Cost Sharing,award Cost Share,Cost Share Met,,Cost Share Met,org.kuali.kra.award.commitments.AwardCostShare,costShareMet,AWARD_COST_SHARE,COST_SHARE_MET,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardCostShare.tag,
Award Commitments,Cost Sharing,award Cost Share,Cost Share Percentage,,Cost Share Percentage,org.kuali.kra.award.commitments.AwardCostShare,costSharePercentage,AWARD_COST_SHARE,COST_SHARE_PERCENTAGE,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardCostShare.tag,
Award Commitments,Cost Sharing,award Cost Share,Cost Share Type Code,,Cost Share Type Code,org.kuali.kra.award.commitments.AwardCostShare,costShareTypeCode,AWARD_COST_SHARE,COST_SHARE_TYPE_CODE,NUMBER,COST_SHARE_TYPE,COST_SHARE_TYPE_CODE,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardCostShare.tag,
Award Commitments,Cost Sharing,award Cost Share,Destination,,Destination,org.kuali.kra.award.commitments.AwardCostShare,destination,AWARD_COST_SHARE,DESTINATION,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardCostShare.tag,
Award Commitments,Cost Sharing,award Cost Share,Project Period,,Project Period,org.kuali.kra.award.commitments.AwardCostShare,projectPeriod,AWARD_COST_SHARE,PROJECT_PERIOD,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardCostShare.tag,
Award Commitments,Cost Sharing,award Cost Share,Source,,Source,org.kuali.kra.award.commitments.AwardCostShare,source,AWARD_COST_SHARE,SOURCE,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardCostShare.tag,
Award Commitments,Cost Sharing,award Cost Share,Unit,,Unit Number,org.kuali.kra.award.commitments.AwardCostShare,unitNumber,AWARD_COST_SHARE,UNIT_NUMBER,VARCHAR2,UNIT,UNIT_NUMBER,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/award/awardCostShare.tag,
