UI_SECTION,UI_TAB,UI_PANEL,UI_FIELD_NAME,UI_SHORT_LABEL,FIELD_DESCRIPTION,JAVA_CLASS,JAVA_PROPERTY,DB_TABLE,DB_COLUMN,DATA_TYPE,LOOKUP_TABLE,LOOKUP_COLUMN,LOOKUP_DESCRIPTION_COLUMN,FIELD_ORIGIN,CUSTOM_ATTRIBUTE_ID,REQUIRED,READ_ONLY,CONFIDENCE,SOURCE_FILE,NOTES
Negotiation Custom Data,General,negotiation Custom Data,Addgene Order Number,addgene_number,addgene_number,org.kuali.kra.negotiations.customdata.NegotiationCustomData,value,NEGOTIATION_CUSTOM_DATA,VALUE,String,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,910,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 910; VALUE is generic EAV storage, not the field name"
Negotiation Custom Data,General,negotiation Custom Data,Budget Approved (Y/N),budget_approval,budget_approval,org.kuali.kra.negotiations.customdata.NegotiationCustomData,value,NEGOTIATION_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,900,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 900; VALUE is generic EAV storage, not the field name"
Negotiation Custom Data,General,negotiation Custom Data,Clinicaltrials.gov Reg. No.,ct_reg_num,ct_reg_num,org.kuali.kra.negotiations.customdata.NegotiationCustomData,value,NEGOTIATION_CUSTOM_DATA,VALUE,String,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,920,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 920; VALUE is generic EAV storage, not the field name"
Negotiation Custom Data,General,negotiation Custom Data,IND/IDE,ind_ide,ind_ide,org.kuali.kra.negotiations.customdata.NegotiationCustomData,value,NEGOTIATION_CUSTOM_DATA,VALUE,String,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,970,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 970; VALUE is generic EAV storage, not the field name"
Negotiation Custom Data,General,negotiation Custom Data,IRB Number,irb_number,irb_number,org.kuali.kra.negotiations.customdata.NegotiationCustomData,value,NEGOTIATION_CUSTOM_DATA,VALUE,String,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,960,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 960; VALUE is generic EAV storage, not the field name"
Negotiation Custom Data,Important Dates,negotiation Custom Data,MTA Expiration Date,mta_exp_date,mta_exp_date,org.kuali.kra.negotiations.customdata.NegotiationCustomData,value,NEGOTIATION_CUSTOM_DATA,VALUE,Date,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,950,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 950; VALUE is generic EAV storage, not the field name"
Negotiation Custom Data,Important Dates,negotiation Custom Data,Master Agreement End Date,msa_end_date,msa_end_date,org.kuali.kra.negotiations.customdata.NegotiationCustomData,value,NEGOTIATION_CUSTOM_DATA,VALUE,Date,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,940,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 940; VALUE is generic EAV storage, not the field name"
Negotiation Custom Data,Important Dates,negotiation Custom Data,Master Agreement Start Date,msa_start_date,msa_start_date,org.kuali.kra.negotiations.customdata.NegotiationCustomData,value,NEGOTIATION_CUSTOM_DATA,VALUE,Date,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,930,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 930; VALUE is generic EAV storage, not the field name"
Negotiation Negotiation,Negotiation,negotiation,Agreement Type,,Agreement Type,org.kuali.kra.negotiations.bo.Negotiation,negotiationAgreementTypeId,NEGOTIATION,NEGOTIATION_AGREEMENT_TYPE_ID,NUMBER,NEGOTIATION_AGREEMENT_TYPE,NEGOTIATION_AGRMNT_TYPE_ID,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,
Negotiation Negotiation,Negotiation,negotiation,Anticipated Award Date,,Anticipated Award Date,org.kuali.kra.negotiations.bo.Negotiation,anticipatedAwardDate,NEGOTIATION,ANTICIPATED_AWARD_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,
Negotiation Negotiation,Negotiation,negotiation,Document Folder,,Document Folder,org.kuali.kra.negotiations.bo.Negotiation,documentFolder,NEGOTIATION,DOCUMENT_FOLDER,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,
Negotiation Negotiation,Negotiation,negotiation,End Date,,End Date,org.kuali.kra.negotiations.bo.Negotiation,negotiationEndDate,NEGOTIATION,NEGOTIATION_END_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,
Negotiation Negotiation,Negotiation,negotiation,Negotiation Association ID,,Negotiation Association ID,org.kuali.kra.negotiations.bo.Negotiation,associatedDocumentId,NEGOTIATION,ASSOCIATED_DOCUMENT_ID,VARCHAR2,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,
Negotiation Negotiation,Negotiation,negotiation,Negotiation Association Type,,Negotiation Association Type,org.kuali.kra.negotiations.bo.Negotiation,negotiationAssociationTypeId,NEGOTIATION,NEGOTIATION_ASSC_TYPE_ID,NUMBER,NEGOTIATION_ASSOCIATION_TYPE,NEGOTIATION_ASSC_TYPE_ID,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,
Negotiation Negotiation,Negotiation,negotiation,Negotiation Status,,Negotiation Status,org.kuali.kra.negotiations.bo.Negotiation,negotiationStatusId,NEGOTIATION,NEGOTATION_STATUS_ID,NUMBER,NEGOTIATION_STATUS,NEGOTIATION_STATUS_ID,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,
