UI_SECTION,UI_TAB,UI_PANEL,UI_FIELD_NAME,UI_SHORT_LABEL,FIELD_DESCRIPTION,JAVA_CLASS,JAVA_PROPERTY,DB_TABLE,DB_COLUMN,DATA_TYPE,LOOKUP_TABLE,LOOKUP_COLUMN,LOOKUP_DESCRIPTION_COLUMN,FIELD_ORIGIN,CUSTOM_ATTRIBUTE_ID,REQUIRED,READ_ONLY,CONFIDENCE,SOURCE_FILE,NOTES
Institutional Proposal Actions,Funded Awards,institutional Proposal Funded Awards,Award ID,,Award ID,org.kuali.kra.award.home.Award,awardNumber,AWARD,AWARD_NUMBER,VARCHAR2,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFundedAwards.tag,
Institutional Proposal Actions,Funded Awards,institutional Proposal Funded Awards,Institutional Proposal Number,,Institutional Proposal Number,org.kuali.kra.institutionalproposal.home.InstitutionalProposal,proposalNumber,PROPOSAL,PROPOSAL_NUMBER,VARCHAR2,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFundedAwards.tag,
Institutional Proposal Actions,Funded Awards,institutional Proposal Funded Awards,SP/IO Number,,Account ID,org.kuali.kra.award.home.Award,accountNumber,AWARD,ACCOUNT_NUMBER,VARCHAR2,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFundedAwards.tag,
Institutional Proposal Actions,Funded Awards,institutional Proposal Funded Awards,Sequence Number,,Sequence Number,org.kuali.kra.award.home.Award,sequenceNumber,AWARD,SEQUENCE_NUMBER,NUMBER,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFundedAwards.tag,
Institutional Proposal Attachments,Attachments,institutional Proposal Attachments,Code,,Code,org.kuali.kra.institutionalproposal.attachments.InstitutionalProposalAttachment,attachmentTypeCode,PROPOSAL_ATTACHMENTS,ATTACHMENT_TYPE_CODE,NUMBER,PROPOSAL_ATTACHMENT_TYPE,ATTACHMENT_TYPE_CODE,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalAttachments.tag,
Institutional Proposal Attachments,Attachments,institutional Proposal Attachments,Comments,,Comments,org.kuali.kra.institutionalproposal.attachments.InstitutionalProposalAttachment,comments,PROPOSAL_ATTACHMENTS,COMMENTS,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalAttachments.tag,
Institutional Proposal Attachments,Attachments,institutional Proposal Attachments,Description,,,org.kuali.kra.institutionalproposal.attachments.InstitutionalProposalAttachment,attachmentTitle,PROPOSAL_ATTACHMENTS,ATTACHMENT_TITLE,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalAttachments.tag,
Institutional Proposal Attachments,Attachments,institutional Proposal Attachments,Last Update,,The creation or last modification timestamp.,org.kuali.kra.institutionalproposal.attachments.InstitutionalProposalAttachment,lastUpdateTimestamp,PROPOSAL_ATTACHMENTS,LAST_UPDATE_TIMESTAMP,DATE,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalAttachments.tag,
Institutional Proposal Attachments,Attachments,institutional Proposal Attachments,Updated By,,The user who created or last modified the object.,org.kuali.kra.institutionalproposal.attachments.InstitutionalProposalAttachment,lastUpdateUser,PROPOSAL_ATTACHMENTS,LAST_UPDATE_USER,VARCHAR2,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalAttachments.tag,
Institutional Proposal Contacts,Project Personnel,institutional Proposal Project Personnel,,,,InstitutionalProposal,InstitutionalProposalContact.keyPersonRole,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnel.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
