UI_SECTION,UI_TAB,UI_PANEL,UI_FIELD_NAME,UI_SHORT_LABEL,FIELD_DESCRIPTION,JAVA_CLASS,JAVA_PROPERTY,DB_TABLE,DB_COLUMN,DATA_TYPE,LOOKUP_TABLE,LOOKUP_COLUMN,LOOKUP_DESCRIPTION_COLUMN,FIELD_ORIGIN,CUSTOM_ATTRIBUTE_ID,REQUIRED,READ_ONLY,CONFIDENCE,SOURCE_FILE,NOTES
Sub Award Actions,Print,sub Award Print,,,,SubAward,subAwardForms.selectToPrint,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardPrint.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,,sub Award Amount Info Line,,,,SubAward,totalAnticipatedAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardAmountInfoLine.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,,sub Award Amount Info Line,,,,SubAward,totalObligatedAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardAmountInfoLine.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,modificationEffectiveDate,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,modificationId,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,performanceEnddate,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,performanceStartDate,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,totalAmountReleased,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,totalAnticipatedAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,totalAnticipatedDirectAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,totalAnticipatedIndirectAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,totalAvailableAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,totalObligatedAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,totalObligatedDirectAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,History of Changes,sub Award History Of Changes,,,,SubAward,totalObligatedIndirectAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardHistoryOfChanges.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,Invoices,sub Award Invoices,Amount Released,,Amount Released,org.kuali.kra.subaward.bo.SubAwardAmountReleased,amountReleased,SUBAWARD_AMT_RELEASED,AMOUNT_RELEASED,NUMBER,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardInvoices.tag,
Sub Award Financial,Invoices,sub Award Invoices,Comments,,Comments,org.kuali.kra.subaward.bo.SubAwardAmountReleased,comments,SUBAWARD_AMT_RELEASED,COMMENTS,VARCHAR2,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardInvoices.tag,
Sub Award Financial,Invoices,sub Award Invoices,Effective Date,,Effective Date,org.kuali.kra.subaward.bo.SubAwardAmountReleased,effectiveDate,SUBAWARD_AMT_RELEASED,EFFECTIVE_DATE,DATE,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardInvoices.tag,
Sub Award Financial,Invoices,sub Award Invoices,End Date,,End Date,org.kuali.kra.subaward.bo.SubAwardAmountReleased,endDate,SUBAWARD_AMT_RELEASED,END_DATE,DATE,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardInvoices.tag,
Sub Award Financial,Invoices,sub Award Invoices,Invoice ID,,Invoice ID,org.kuali.kra.subaward.bo.SubAwardAmountReleased,invoiceNumber,SUBAWARD_AMT_RELEASED,INVOICE_NUMBER,VARCHAR2,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardInvoices.tag,
Sub Award Financial,Invoices,sub Award Invoices,Start Date,,Start Date,org.kuali.kra.subaward.bo.SubAwardAmountReleased,startDate,SUBAWARD_AMT_RELEASED,START_DATE,DATE,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardInvoices.tag,
Sub Award Financial,Invoices,sub Award Invoices,,,,SubAward,subAwardAmountReleasedList.fileName,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardInvoices.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,Invoices,sub Award Invoices,,,,SubAward,totalAmountReleased,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardInvoices.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,Invoices,sub Award Invoices,,,,SubAward,totalAvailableAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardInvoices.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Financial,Invoices,sub Award Invoices,,,,SubAward,totalObligatedAmount,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAwardInvoices.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Sub Award Home,Subaward,sub Award,Archive Location,,Archive Location,org.kuali.kra.subaward.bo.SubAward,archiveLocation,SUBAWARD,ARCHIVE_LOCATION,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Closeout Date,,Closeout Date,org.kuali.kra.subaward.bo.SubAward,closeoutDate,SUBAWARD,CLOSEOUT_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Comments,,Comments,org.kuali.kra.subaward.bo.SubAward,comments,SUBAWARD,COMMENTS,CLOB,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Cost Type,,Cost Type,org.kuali.kra.subaward.bo.SubAward,costType,SUBAWARD,COST_TYPE,NUMBER,SUBCONTRACT_COST_TYPE,COST_TYPE_CODE,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Date Received,,Date Received,edu.bu.kuali.kra.subaward.bo.SubAwardExtension,dateReceived,SUBAWARD_EXTENSION,DATE_RECEIVED,DATE,,,,BU_EXTENSION,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Execution Date,,Execution Date,org.kuali.kra.subaward.bo.SubAward,executionDate,SUBAWARD,DATE_OF_FULLY_EXECUTED,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,F & A Rate,,F & A Rate,org.kuali.kra.subaward.bo.SubAward,fAndARate,SUBAWARD,F_AND_A_RATE,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,FFATA Required,,FFATA Required,org.kuali.kra.subaward.bo.SubAward,ffataRequired,SUBAWARD,FFATA_REQUIRED,CHAR,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,FSRS Subaward Number,,FSRS Subaward Number,org.kuali.kra.subaward.bo.SubAward,fsrsSubawardNumber,SUBAWARD,FSRS_SUBAWARD_NUMBER,VARCHAR2,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Federal Award Project Description,,Federal Award Project Description,org.kuali.kra.subaward.bo.SubAward,fedAwardProjDesc,SUBAWARD,FED_AWARD_PROJ_DESC,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Project End Date,,Project End Date,org.kuali.kra.subaward.bo.SubAward,endDate,SUBAWARD,END_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Project Start Date,,Project Start Date,org.kuali.kra.subaward.bo.SubAward,startDate,SUBAWARD,START_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Requisition ID,,Requisition ID,org.kuali.kra.subaward.bo.SubAward,requisitionId,SUBAWARD,REQUISITION_NUMBER,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Requisitioner ID,,KcPerson Id,org.kuali.kra.subaward.bo.SubAward,requisitionerId,SUBAWARD,REQUISITIONER_ID,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Requisitioner Unit,,Requisitioner Unit,org.kuali.kra.subaward.bo.SubAward,requisitionerUnit,SUBAWARD,REQUISITIONER_UNIT,VARCHAR2,UNIT,UNIT_NUMBER,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,SP/IO Number,,Account ID,org.kuali.kra.subaward.bo.SubAward,accountNumber,SUBAWARD,ACCOUNT_NUMBER,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Site Investigator,,Site Investigator,org.kuali.kra.subaward.bo.SubAward,siteInvestigator,SUBAWARD,SITE_INVESTIGATOR,NUMBER,ROLODEX,ROLODEX_ID,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Status,,Status Code,org.kuali.kra.subaward.bo.SubAward,statusCode,SUBAWARD,STATUS_CODE,NUMBER,SUBAWARD_STATUS,SUBAWARD_STATUS_CODE,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Subaward Type,,Subaward Type,org.kuali.kra.subaward.bo.SubAward,subAwardTypeCode,SUBAWARD,SUBAWARD_TYPE_CODE,NUMBER,AWARD_TYPE,AWARD_TYPE_CODE,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
Sub Award Home,Subaward,sub Award,Subrecipient,,Subrecipient,org.kuali.kra.subaward.bo.SubAward,organizationId,SUBAWARD,ORGANIZATION_ID,VARCHAR2,ORGANIZATION,ORGANIZATION_ID,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/subaward/subAward.tag,
