MODULE,FIELD_ORIGIN,DB_TABLE,DB_COLUMN,JAVA_OBJECT,JAVA_PROPERTY,UI_FIELD_NAME,FIELD_DESCRIPTION,LOOKUP_TABLE,LOOKUP_COLUMN,CUSTOM_ATTRIBUTE_ID,GROUP_NAME,DATA_TYPE,MAX_LENGTH,MODULE_USAGE,SOURCE_FILE,CONFIDENCE,MAPPING_PRIORITY,NOTES
Award,CORE_KUALI,AWARD,ACCOUNT_NUMBER,org.kuali.kra.award.home.Award,accountNumber,SP/IO Number,Account ID,,,,,VARCHAR2,25,,coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml | coeus-impl/src/main/resources/org/kuali/kra/datadictionary/Award.xml,HIGH,HIGH,label inherited via Spring parent bean from Award.xml
Award,CORE_KUALI,AWARD,ACCOUNT_TYPE_CODE,org.kuali.kra.award.home.Award,accountTypeCode,Account Type,Account Type,,,,,NUMBER,"3,0",,coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml | coeus-impl/src/main/resources/org/kuali/kra/datadictionary/Award.xml,HIGH,HIGH,label inherited via Spring parent bean from Award.xml
Award,CORE_KUALI,AWARD,ACTIVITY_TYPE_CODE,org.kuali.kra.award.home.Award,activityTypeCode,Activity Type,"The type of activity proposed, e.g. organized research, instruction, etc.",ACTIVITY_TYPE,ACTIVITY_TYPE_CODE,,,NUMBER,"3,0",,coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml | coeus-impl/src/main/resources/org/kuali/coeus/propdev/impl/core/DevelopmentProposal.xml,HIGH,HIGH,label inherited via Spring parent bean from DevelopmentProposal.xml
Award,CORE_KUALI,AWARD,APPRVD_EQUIPMENT_INDICATOR,org.kuali.kra.award.home.Award,approvedEquipmentIndicator,,,,,,,VARCHAR2,2,,coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml,MEDIUM,MEDIUM,no DataDictionary label in source; UI name not asserted
Award,CORE_KUALI,AWARD,APPRVD_FOREIGN_TRIP_INDICATOR,org.kuali.kra.award.home.Award,approvedForeignTripIndicator,,,,,,,VARCHAR2,2,,coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml,MEDIUM,MEDIUM,no DataDictionary label in source; UI name not asserted
Award,CORE_KUALI,AWARD,APPRVD_SUBCONTRACT_INDICATOR,org.kuali.kra.award.home.Award,subContractIndicator,,,,,,,VARCHAR2,2,,coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml,MEDIUM,MEDIUM,no DataDictionary label in source; UI name not asserted
Award,CORE_KUALI,AWARD,ARCHIVE_LOCATION,org.kuali.kra.award.home.Award,archiveLocation,Archive Location,Archive Location,,,,,VARCHAR2,50,,coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml | coeus-impl/src/main/resources/org/kuali/kra/datadictionary/Award.xml,HIGH,HIGH,label inherited via Spring parent bean from Award.xml
Award,CORE_KUALI,AWARD,AWARD_EFFECTIVE_DATE,org.kuali.kra.award.home.Award,awardEffectiveDate,Project Start Date,Project Start Date,,,,,DATE,10,,coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml | coeus-impl/src/main/resources/org/kuali/kra/datadictionary/Award.xml,HIGH,HIGH,label inherited via Spring parent bean from Award.xml
Award,CORE_KUALI,AWARD,AWARD_EXECUTION_DATE,org.kuali.kra.award.home.Award,awardExecutionDate,Execution Date,The Execution Date of the Budget,,,,,DATE,10,,coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml | coeus-impl/src/main/resources/org/kuali/kra/datadictionary/Award.xml,HIGH,HIGH,label inherited via Spring parent bean from Award.xml
Award,CORE_KUALI,AWARD,AWARD_ID,org.kuali.kra.award.home.Award,awardId,Award Id,Award Id,AWARD_EXTENSION,AWARD_ID,,,NUMBER,"22,0",,coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml | coeus-impl/src/main/resources/org/kuali/kra/datadictionary/Award.xml,HIGH,HIGH,label inherited via Spring parent bean from Award.xml
