PARENT_OBJECT,RELATIONSHIP_NAME,RELATIONSHIP_TYPE,CHILD_OBJECT,PARENT_TABLE,CHILD_TABLE,JOIN_COLUMNS,BUSINESS_PURPOSE,HURON_EXPOSE,NOTES
Award,activityType,MANY_TO_ONE,ActivityType,AWARD,ACTIVITY_TYPE,activityTypeCode,Activity type decode,Y, | child rows: 5
Award,awardBasisOfPayment,MANY_TO_ONE,AwardBasisOfPayment,AWARD,AWARD_BASIS_OF_PAYMENT,basisOfPaymentCode,Basis of payment decode,Y, | child rows: 3
Award,awardDocument,MANY_TO_ONE,AwardDocument,AWARD,AWARD_DOCUMENT,documentNumber,KEW routing document header,N,"KEW workflow routing header - platform infrastructure, not Grants data | child rows: 288,509"
Award,awardMethodOfPayment,MANY_TO_ONE,AwardMethodOfPayment,AWARD,AWARD_METHOD_OF_PAYMENT,methodOfPaymentCode,Method of payment decode,Y, | child rows: 38
Award,awardStatus,MANY_TO_ONE,AwardStatus,AWARD,AWARD_STATUS,statusCode,Award status decode,Y, | child rows: 10
Award,awardTemplate,MANY_TO_ONE,AwardTemplate,AWARD,AWARD_TEMPLATE,templateCode,Award template the record was created from,N,"authoring template the record was created from, not award content | child rows: 29"
Award,awardTransactionType,MANY_TO_ONE,AwardTransactionType,AWARD,AWARD_TRANSACTION_TYPE,awardTransactionTypeCode,Transaction type decode for the current action,Y, | child rows: 20
Award,awardType,MANY_TO_ONE,AwardType,AWARD,AWARD_TYPE,awardTypeCode,Award type decode,Y, | child rows: 19
Award,leadUnit,MANY_TO_ONE,Unit,AWARD,UNIT,unitNumber,Owning organizational unit,Y," | child rows: 5,241"
Award,nsfCodeBo,MANY_TO_ONE,NsfCode,AWARD,NSF_CODES,nsfSequenceNumber,NSF science code decode,Y, | child rows: 117
Award,primeSponsor,MANY_TO_ONE,Sponsor,AWARD,SPONSOR,primeSponsorCode,Prime (pass-through) sponsor,Y," | child rows: 7,552"
Award,sponsor,MANY_TO_ONE,Sponsor,AWARD,SPONSOR,sponsorCode,Sponsor of record,Y," | child rows: 7,552"
