CUSTOM_ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_LABEL,GROUP_NAME,DATA_TYPE_CODE,DATA_TYPE_DESC,DATA_LENGTH,DEFAULT_VALUE,LOOKUP_CLASS,LOOKUP_RETURN,DOCUMENT_TYPE_CODE,ATTACHED_MODULE,IS_REQUIRED,ACTIVE_FLAG,AWARD_VALUE_ROWS,AWARD_DISTINCT_VALUES,PROPOSAL_VALUE_ROWS,PROPOSAL_DISTINCT_VALUES,SUBAWARD_VALUE_ROWS,SUBAWARD_DISTINCT_VALUES,NEGOTIATION_VALUE_ROWS,NEGOTIATION_DISTINCT_VALUES,DOC_VALUE_ROWS,DOC_DISTINCT_VALUES
500,center_affiliation,Center Affiliation,Center Affiliation,1,String,,,org.kuali.coeus.common.framework.unit.Unit,unitNumber,AWRD,,N,Y,197041,101,114801,155,0,0,0,0,0,0
1110,post_doc_fellow,Postdoctoral Fellowship? (Y/N),Fellowships,4,Boolean,,No,,,AWRD,,N,Y,194547,1,113689,1,0,0,0,0,0,0
1100,pre_doc_fellow,Predoctoral Fellowship? (Y/N),Fellowships,4,Boolean,,No,,,AWRD,,N,Y,194548,1,113689,1,0,0,0,0,0,0
1215,ActvCode,NIH Activity Code,General,1,String,4,,,,AWRD,ActvCode,N,Y,123425,68,91344,131,0,0,0,0,0,0
1216,Audited,Special Audit,General,4,Boolean,,,,,AWRD,Audited,N,Y,123425,2,0,0,0,0,0,0,0,0
1213,BillingAgmt,Billing Agreement,General,4,Boolean,,,,,AWRD,Billing Agmt,N,Y,123762,2,2761,2,0,0,0,0,0,0
1222,COVID_Vaccine_Mandate,COVID Vaccine Mandate,General,4,Boolean,,,,,AWRD,COVID_Vaccine_Mandate,N,N,59899,1,33297,1,0,0,0,0,0,0
1221,Covid_19_Research,COVID-19 Research,General,4,Boolean,,,,,AWRD,Covid_19_Research,N,N,89440,2,51012,2,0,0,0,0,0,0
1218,ExportCntrl,Export Control (TCP),General,4,Boolean,,,,,AWRD,ExportCntrl,N,Y,123425,2,0,0,0,0,0,0,0,0
8,Grant_Termination,Grant Termination,General,4,Boolean,,,,,AWRD,Grant_Termination,N,Y,17222,2,0,0,0,0,0,0,0,0
1219,InfoSecurityCompliance,Info Security Compliance,General,4,Boolean,,,,,AWRD,InfoSecurityCompliance,N,Y,123425,1,0,0,0,0,0,0,0,0
9,Limited_Submission_Opportunity,Limited Submission Opportunity,General,4,Boolean,,,,,AWRD,Limited_Submission_Opportunity,N,Y,11101,0,7346,0,0,0,0,0,0,0
1214,OppNum,Opportunity Number,General,1,String,,,,,AWRD,OppNum,N,Y,123425,1287,91394,6878,0,0,0,0,0,0
1209,OppTitle,Opportunity Title,General,1,String,,,,,AWRD,OppTitle,N,Y,123425,1713,91394,5454,0,0,0,0,0,0
1217,RetentionDate,Special Retention End Date,General,3,Date,,,,,AWRD,RetentionDate,N,Y,123425,1,0,0,0,0,0,0,0,0
6,Trump_Exec_Order_Cert,Trump Exec Order Cert,General,4,Boolean,,,,,AWRD,Trump_Exec_Order_Cert_Det,N,Y,22102,2,14571,2,0,0,0,0,0,0
5,Trump_Exec_Order_Cert_Det,Trump Exec Order Cert Det,General,5,Long String,,,,,AWRD,Trump_Exec_Order_Cert,N,Y,22102,6,14571,2,0,0,0,0,0,0
1000,credit_override,Admin Unit Credit Override,General,1,String,,,org.kuali.coeus.common.framework.unit.Unit,unitNumber,AWRD,,N,Y,197041,7,0,0,0,0,0,0,0,0
1010,paa_override,PAA Credit Override,General,2,Number,,,org.kuali.coeus.common.framework.unit.Unit,unitNumber,AWRD,,N,Y,195598,0,0,0,0,0,0,0,0,0
753,3rd_party,Will these staff be third party contractors? (Y/N),International Activity,4,Boolean,,,,,AWRD,,N,Y,197041,2,114801,2,0,0,0,0,0,0
795,Internl_countries,Country or countries involved,International Activity,1,String,,,,,AWRD,,N,Y,197040,261,114801,567,0,0,0,0,0,0
780,bank_acct,Will you be opening and operating an in-country bank account? (Y/N),International Activity,4,Boolean,,,,,AWRD,,N,Y,197041,2,114801,2,0,0,0,0,0,0
750,emp_contr,Will these staff be BU employees? (Y/N),International Activity,4,Boolean,,,,,AWRD,,N,Y,197041,2,114801,2,0,0,0,0,0,0
790,hum_sub,Will you be conducting human subject research internationally? (Y/N),International Activity,4,Boolean,,,,,AWRD,,N,Y,197041,2,114801,2,0,0,0,0,0,0
793,internl_effort,Percent of the overall effort that will be performed in another country,International Activity,2,Number,3,,,,AWRD,,N,Y,197040,53,114801,83,0,0,0,0,0,0
700,internl_research,International activity? (excluding travel to conferences) (Y/N),International Activity,4,Boolean,,,,,AWRD,,Y,Y,213215,2,117315,2,0,0,0,0,0,0
770,op_exp,Will you be incurring in-country operational expenses? (Y/N),International Activity,4,Boolean,,,,,AWRD,,N,Y,197041,2,114801,2,0,0,0,0,0,0
710,prim_travel,Is this activity primarily collaboration with colleagues? (Y/N),International Activity,4,Boolean,,,,,AWRD,,N,Y,197041,2,114801,2,0,0,0,0,0,0
760,rent_lease,Will you be renting or leasing office or research space? (Y/N),International Activity,4,Boolean,,,,,AWRD,,N,Y,197041,2,114801,2,0,0,0,0,0,0
740,temp_perm,Will you be hiring temporary or permanent staff internationally? (Y/N),International Activity,4,Boolean,,,,,AWRD,,N,Y,197041,2,114801,2,0,0,0,0,0,0
800,bldg_name,Building Name,Location of Research,1,String,,,,,AWRD,,N,Y,197041,535,114801,1281,0,0,0,0,0,0
