CSV_COLUMN,CUSTOM_ATTRIBUTE_ID,CUSTOM_ATTRIBUTE_NAME,CUSTOM_ATTRIBUTE_LABEL,GROUP_NAME,DATA_TYPE,MAX_LENGTH,SOURCE
MODULE,,,,,,,record key from source table
RECORD_NUMBER,,,,,,,record key from source table
RECORD_ID,,,,,,,record key from source table
SEQUENCE_NUMBER,,,,,,,record key from source table
SUBMITTED_DATE,480,ip_submission_date,Submitted Date,Additional Dates,Date,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
CENTER_AFFILIATION,500,center_affiliation,Center Affiliation,Center Affiliation,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
EXPORT_CONTROL_NOT_APPLICABLE,1500,ExportCntrlNA,Export Control Not Applicable,Export Control,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
EXPORT_CONTROL_RESTRICTIONS,1530,ExportCntrlRestriction,Export control restrictions,Export Control,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
EXPORT_CONTROL_SECTION_LEFT_BLANK_ON_PSF,1540,ExportCntrlBlank,Export Control section left blank on PSF,Export Control,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
PRIOR_APPROVAL_FOR_DISSEMINATION_PUBLICATIONS,1510,PriorApprvDissemPub,Prior approval for dissemination/publications,Export Control,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
RESTRICTIONS_ON_ACCESS_OR_PARTICIPATION_BY_FOREIGN_NATIONALS,1520,RestrictForeignN,Restrictions on access or participation by foreign nationals,Export Control,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
POSTDOCTORAL_FELLOWSHIP_Y_N,1110,post_doc_fellow,Postdoctoral Fellowship? (Y/N),Fellowships,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
PREDOCTORAL_FELLOWSHIP_Y_N,1100,pre_doc_fellow,Predoctoral Fellowship? (Y/N),Fellowships,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
BILLING_AGREEMENT,1213,BillingAgmt,Billing Agreement,General,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
CONTRACT,1212,Contract,Contract,General,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
COVID_19_RESEARCH,1221,Covid_19_Research,COVID-19 Research,General,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
COVID_VACCINE_MANDATE,1222,COVID_Vaccine_Mandate,COVID Vaccine Mandate,General,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
LIMITED_SUBMISSION_OPPORTUNITY,9,Limited_Submission_Opportunity,Limited Submission Opportunity,General,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
NIH_ACTIVITY_CODE,1215,ActvCode,NIH Activity Code,General,String,4,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
OPPORTUNITY_NUMBER,1214,OppNum,Opportunity Number,General,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
OPPORTUNITY_TITLE,1209,OppTitle,Opportunity Title,General,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
TRUMP_EXEC_ORDER_CERT,6,Trump_Exec_Order_Cert,Trump Exec Order Cert,General,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
TRUMP_EXEC_ORDER_CERT_DET,5,Trump_Exec_Order_Cert_Det,Trump Exec Order Cert Det,General,Long String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
COUNTRY_OR_COUNTRIES_INVOLVED,795,Internl_countries,Country or countries involved,International Activity,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
INTERNATIONAL_ACTIVITY_EXCLUDING_TRAVEL_TO_CONFERENCES_Y_N,700,internl_research,International activity? (excluding travel to conferences) (Y/N),International Activity,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
IS_THIS_ACTIVITY_PRIMARILY_COLLABORATION_WITH_COLLEAGUES_Y_N,710,prim_travel,Is this activity primarily collaboration with colleagues? (Y/N),International Activity,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
PERCENT_OF_THE_OVERALL_EFFORT_THAT_WILL_BE_PERFORMED_IN_ANOT,793,internl_effort,Percent of the overall effort that will be performed in another country,International Activity,Number,3,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
