DOMAIN,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,NULLABLE,DATA_DEFAULT,ORACLE_COLUMN_COMMENT,UI_FIELD_NAME,FIELD_DESCRIPTION,JAVA_OBJECT,JAVA_PROPERTY,LOOKUP_TABLE,LOOKUP_COLUMN,FIELD_ORIGIN,MAPPING_PRIORITY,EXTRACT_TYPE,CONTAINS_PII
Award,AWARD,1,CLOSEOUT_DATE,DATE,Y,,,Archive Date,Archive Date,org.kuali.kra.award.home.Award,closeoutDate,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD,2,TRANSACTION_TYPE_CODE,VARCHAR2(3),Y,,,Transaction Type,Transaction Type,org.kuali.kra.award.home.Award,awardTransactionTypeCode,AWARD_TRANSACTION_TYPE,AWARD_TRANSACTION_TYPE_CODE,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD,3,NOTICE_DATE,DATE,Y,,,Notice Date,Notice Date,org.kuali.kra.award.home.Award,noticeDate,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD,4,LEAD_UNIT_NUMBER,VARCHAR2(20),Y,,,Lead Unit Number,The lead unit number for the Award.,org.kuali.kra.award.home.Award,unitNumber,UNIT,UNIT_NUMBER,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD,5,ACTIVITY_TYPE_CODE,"NUMBER(3,0)",N,,,Activity Type,"The type of activity proposed, e.g. organized research, instruction, etc.",org.kuali.kra.award.home.Award,activityTypeCode,ACTIVITY_TYPE,ACTIVITY_TYPE_CODE,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD,6,AWARD_TYPE_CODE,"NUMBER(3,0)",N,,,Award Type,Award Type,org.kuali.kra.award.home.Award,awardTypeCode,AWARD_TYPE,AWARD_TYPE_CODE,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD,7,PRIME_SPONSOR_CODE,VARCHAR2(20),Y,,,Prime Sponsor,The identification number of the organization or agency that is providing support for the sponsored project.,org.kuali.kra.award.home.Award,primeSponsorCode,SPONSOR,SPONSOR_CODE,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD,8,METHOD_OF_PAYMENT_CODE,VARCHAR2(3),Y,,,Payment Method,Payment Method,org.kuali.kra.award.home.Award,methodOfPaymentCode,AWARD_METHOD_OF_PAYMENT,METHOD_OF_PAYMENT_CODE,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD,9,DFAFS_NUMBER,VARCHAR2(20),Y,,,Document Funding ID,Document Funding ID,org.kuali.kra.award.home.Award,documentFundingId,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD,10,PRE_AWARD_AUTHORIZED_AMOUNT,"NUMBER(12,2)",Y,,,Amount,Pre Award Sponsor Authorized Amount,org.kuali.kra.award.home.Award,preAwardAuthorizedAmount,,,CORE_KUALI,HIGH,SAMPLE,N
