DOMAIN,TABLE_NAME,EXTRACT_TYPE,ROW_COUNT,COLUMN_COUNT,PRIMARY_KEY,LINEAGE_KEYS,CONTAINS_PII,NOTES
Award,AWARD,SAMPLE,282464,57,AWARD_ID,"AWARD_ID,AWARD_NUMBER,PROPOSAL_NUMBER,SEQUENCE_NUMBER,DOCUMENT_NUMBER,SPONSOR_CODE",N,
Award,AWARD_ACCOUNT,EMPTY,0,14,ID,,N,"no rows in production; columns documented, no data file"
Award,AWARD_AMOUNT_INFO,SAMPLE,923457,31,AWARD_AMOUNT_INFO_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_AMOUNT_TRANSACTION,SAMPLE,235797,10,AWARD_AMOUNT_TRANSACTION_ID,AWARD_NUMBER,N,
Award,AWARD_AMT_FNA_DISTRIBUTION,SAMPLE,458011,15,AWARD_AMT_FNA_DISTRIBUTION_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_APPROVED_EQUIPMENT,FULL,3,12,AWARD_APPROVED_EQUIPMENT_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_APPROVED_FOREIGN_TRAVEL,EMPTY,0,15,AWARD_APPR_FORN_TRAVEL_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER,PERSON_ID,ROLODEX_ID",N,"no rows in production; columns documented, no data file"
Award,AWARD_APPROVED_SUBAWARDS,FULL,9336,11,AWARD_APPROVED_SUBAWARD_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER,ORGANIZATION_ID",N,
Award,AWARD_ATTACHMENT,SAMPLE,1861982,15,AWARD_ATTACHMENT_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,"binary payload: send metadata columns, not file content"
Award,AWARD_ATTACHMENT_TYPE,FULL,10,6,TYPE_CODE,,N,
Award,AWARD_BASIS_OF_PAYMENT,FULL,3,6,BASIS_OF_PAYMENT_CODE,,N,
Award,AWARD_BUDGET_DETAILS_EXT,SAMPLE,845780,6,BUDGET_DETAILS_ID,,N,
Award,AWARD_BUDGET_EXT,SAMPLE,80248,14,BUDGET_ID,"AWARD_ID,DOCUMENT_NUMBER,BUDGET_ID",N,
Award,AWARD_BUDGET_LIMIT,SAMPLE,63051,9,BUDGET_LIMIT_ID,"AWARD_ID,BUDGET_ID",N,
Award,AWARD_BUDGET_PERIOD_EXT,SAMPLE,84965,10,BUDGET_PERIOD_NUMBER,,N,
Award,AWARD_BUDGET_STATUS,FULL,10,6,AWARD_BUDGET_STATUS_CODE,,N,
Award,AWARD_BUDGET_TYPE,FULL,2,6,AWARD_BUDGET_TYPE_CODE,,N,
Award,AWARD_CFDA,SAMPLE,187993,10,AWARD_CFDA_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_CGB,SAMPLE,154701,22,AWARD_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_CLOSEOUT,SAMPLE,1265423,13,AWARD_CLOSEOUT_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_COMMENT,SAMPLE,2595983,11,AWARD_COMMENT_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_COST_SHARE,FULL,7618,17,AWARD_COST_SHARE_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER,UNIT_NUMBER",N,
Award,AWARD_DOCUMENT,SAMPLE,288509,5,DOCUMENT_NUMBER,DOCUMENT_NUMBER,N,
Award,AWARD_EXEMPT_NUMBER,FULL,2684,7,AWARD_EXEMPT_NUMBER_ID,,N,
Award,AWARD_FUNDING_PROPOSALS,FULL,13657,8,AWARD_FUNDING_PROPOSAL_ID,"AWARD_ID,PROPOSAL_ID",N,
Award,AWARD_HIERARCHY,SAMPLE,43239,10,AWARD_HIERARCHY_ID,AWARD_NUMBER,N,
